No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
252,KR,The Kroger Co.,32.60B,45.33,-0.25%,147.80B
253,PPG,"PPG Industries, Inc.",32.55B,138.15,-0.35%,18.25B
254,CDW,CDW Corporation,32.49B,242.47,-0.61%,21.80B
255,ROK,"Rockwell Automation, Inc.",32.38B,282.62,1.40%,9.13B
256,MLM,"Martin Marietta Materials, Inc.",32.37B,523.76,-0.31%,6.65B
257,XEL,Xcel Energy Inc.,31.90B,57.82,-0.31%,14.82B
258,VMC,Vulcan Materials Company,31.70B,238.50,0.03%,7.68B
259,HAL,Halliburton Company,30.98B,34.62,-1.18%,23.02B
260,ACGL,Arch Capital Group Ltd.,30.94B,82.92,0.19%,12.73B
261,LYB,LyondellBasell Industries N.V.,30.79B,95.06,0.08%,41.38B
262,EFX,Equifax Inc.,30.61B,248.44,-1.44%,5.14B
263,DLTR,"Dollar Tree, Inc.",30.60B,140.43,-0.33%,29.68B
264,ED,"Consolidated Edison, Inc.",30.58B,88.59,-0.09%,15.25B
265,VICI,VICI Properties Inc.,30.48B,29.46,-0.71%,3.45B
266,PWR,"Quanta Services, Inc.",30.45B,209.59,0.88%,19.51B
267,WST,"West Pharmaceutical Services, Inc.",30.23B,409.07,-0.45%,2.93B
268,EXR,Extra Space Storage Inc.,30.18B,142.83,-0.45%,2.27B
269,ANSS,"ANSYS, Inc.",30.03B,345.41,0.02%,2.16B
270,RCL,Royal Caribbean Cruises Ltd.,29.88B,116.63,-3.59%,13.90B
271,XYL,Xylem Inc.,29.74B,123.33,0.78%,6.75B
272,DG,Dollar General Corporation,29.67B,135.15,-0.37%,39.04B
273,PEG,Public Service Enterprise Group Incorporated,29.03B,58.23,0.04%,11.77B
274,BKR,Baker Hughes Company,28.99B,28.96,-1.23%,25.51B
275,FTV,Fortive Corporation,28.86B,82.13,-0.14%,5.43B
276,DD,"DuPont de Nemours, Inc.",28.67B,66.64,-0.69%,12.53B
277,KEYS,"Keysight Technologies, Inc.",28.25B,161.76,0.36%,5.46B
278,ADM,Archer-Daniels-Midland Company,28.10B,52.66,-0.08%,96.90B
279,HPQ,HP Inc.,28.02B,28.28,-0.05%,53.72B
280,WTW,Willis Towers Watson PLC,28.01B,271.30,0.44%,9.48B
281,DFS,Discover Financial Services,27.23B,108.91,0.06%,10.42B
282,BF.B,Brown-Forman Corporation,27.23B,56.47,-0.82%,4.27B
283,FANG,"Diamondback Energy, Inc.",27.20B,151.94,-1.00%,8.21B
284,GLW,Corning Incorporated,27.14B,31.81,0.24%,12.59B
285,HIG,"The Hartford Financial Services Group, Inc.",27.09B,90.09,0.40%,24.14B
286,RMD,ResMed Inc.,26.83B,182.50,-0.68%,4.50B
287,DVN,Devon Energy Corporation,26.72B,41.71,-1.66%,15.41B
288,TTWO,"Take-Two Interactive Software, Inc.",26.43B,155.28,-8.44%,5.44B
289,CBRE,"CBRE Group, Inc.",26.22B,86.01,0.05%,31.19B
290,DAL,"Delta Air Lines, Inc.",25.85B,40.19,-0.41%,57.26B
291,MTD,Mettler-Toledo International Inc.,25.75B,"1,189.45",-2.90%,3.79B
292,ZBH,"Zimmer Biomet Holdings, Inc.",25.48B,121.92,-0.91%,5.64B
293,CAH,"Cardinal Health, Inc.",25.42B,104.49,1.71%,216.15B
294,ULTA,"Ulta Beauty, Inc.",25.37B,522.25,0.60%,10.88B
295,TSCO,Tractor Supply Company,25.27B,233.69,0.80%,14.56B
296,EIX,Edison International,24.79B,64.63,-0.14%,16.65B
297,AVB,"AvalonBay Communities, Inc.",24.64B,173.56,-0.56%,2.73B
298,WAB,Westinghouse Air Brake Technologies Corporation,24.44B,136.43,-0.22%,9.46B
299,CHD,"Church & Dwight Co., Inc.",24.38B,98.93,-1.01%,5.87B
300,WEC,"WEC Energy Group, Inc.",24.35B,77.20,-0.26%,8.89B
301,WY,Weyerhaeuser Company,24.17B,33.12,0.32%,7.72B
302,HWM,Howmet Aerospace Inc.,24.17B,58.70,-0.80%,6.42B
303,TROW,"T. Rowe Price Group, Inc.",23.98B,107.29,-1.49%,12.32T
304,RJF,"Raymond James Financial, Inc.",23.92B,114.04,1.73%,11.85B
305,AWK,"American Water Works Company, Inc.",23.63B,121.35,-0.39%,4.13B
306,GRMN,Garmin Ltd.,23.54B,122.95,0.52%,5.05B
307,NVR,"NVR, Inc.",23.52B,"7,408.00",-1.05%,9.60B
308,WBD,"Warner Bros. Discovery, Inc.",23.50B,9.64,-1.98%,42.05B
309,BR,"Broadridge Financial Solutions, Inc.",23.42B,198.80,-0.10%,6.32B
310,SBAC,SBA Communications Corporation,23.27B,215.69,-0.24%,2.72B
311,BRO,"Brown & Brown, Inc.",22.82B,80.22,0.34%,4.26B
312,BLDR,"Builders FirstSource, Inc.",22.81B,184.80,-0.24%,17.30B
313,FITB,Fifth Third Bancorp,22.80B,33.50,0.31%,8.22B
314,APTV,Aptiv PLC,22.80B,81.70,0.50%,20.05B
315,ALGN,"Align Technology, Inc.",22.65B,295.67,0.23%,3.86B
316,MOH,"Molina Healthcare, Inc.",22.53B,386.36,1.28%,33.25B
317,STT,State Street Corporation,22.37B,72.44,0.06%,12.06B
318,DOV,Dover Corporation,22.34B,159.76,-0.22%,8.44B
319,EQR,Equity Residential,22.30B,58.71,-0.83%,2.87B
320,JBHT,"J.B. Hunt Transport Services, Inc.",22.12B,214.44,0.50%,13.18B
321,MTB,M&T Bank Corporation,21.94B,132.19,0.43%,9.34B
322,PTC,PTC Inc.,21.87B,182.93,0.77%,2.18B
323,STE,STERIS plc,21.85B,220.85,0.27%,5.41B
324,PHM,"PulteGroup, Inc.",21.84B,102.93,-0.32%,16.06B
325,EBAY,eBay Inc.,21.83B,42.05,0.07%,10.06B
326,ILMN,"Illumina, Inc.",21.60B,136.06,-5.07%,4.50B
327,DTE,DTE Energy Company,21.40B,103.69,-0.52%,12.75B
328,FE,FirstEnergy Corp.,21.23B,37.00,3.38%,12.90B
329,ROL,"Rollins, Inc.",21.00B,43.38,-0.80%,2.98B
330,LYV,"Live Nation Entertainment, Inc.",20.68B,89.76,2.00%,21.20B
331,ETR,Entergy Corporation,20.59B,97.37,-0.03%,12.70B
332,WRB,W. R. Berkley Corporation,20.51B,79.96,0.09%,11.94B
333,VLTO,Veralto Corporation,20.44B,82.87,0.38%,-
334,TDY,Teledyne Technologies Incorporated,20.40B,432.49,0.42%,5.63B
335,ARE,"Alexandria Real Estate Equities, Inc.",20.32B,116.08,-1.54%,2.89B
336,IFF,International Flavors & Fragrances Inc.,20.29B,79.49,-1.27%,11.62B
337,STLD,"Steel Dynamics, Inc.",20.18B,124.66,-0.15%,18.80B
338,VRSN,"VeriSign, Inc.",20.14B,197.13,-1.94%,1.48B
339,AXON,"Axon Enterprise, Inc.",20.13B,268.89,-0.04%,1.47B
340,INVH,Invitation Homes Inc.,20.06B,32.78,0.26%,2.39B
341,HPE,Hewlett Packard Enterprise Company,20.04B,15.42,-0.52%,29.14B
342,DRI,"Darden Restaurants, Inc.",20.02B,167.70,-0.29%,11.01B
343,IRM,Iron Mountain Incorporated,20.00B,68.52,-0.06%,5.34B
344,GPC,Genuine Parts Company,19.89B,141.94,-0.26%,23.03B
345,BAX,Baxter International Inc.,19.73B,38.90,-3.86%,14.81B
346,TRGP,Targa Resources Corp.,19.59B,87.89,-0.01%,16.38B
347,CBOE,"Cboe Global Markets, Inc.",19.54B,184.80,0.35%,3.77B
348,FLT,"FLEETCOR Technologies, Inc.",19.50B,270.32,1.96%,3.76B
349,AKAM,"Akamai Technologies, Inc.",19.41B,128.63,1.46%,3.74B
350,HUBB,Hubbell Incorporated,19.33B,360.71,0.70%,5.37B
351,WBA,"Walgreens Boots Alliance, Inc.",19.32B,22.40,-0.62%,142.41B
352,WAT,Waters Corporation,19.21B,325.03,-0.51%,2.96B
353,ES,Eversource Energy,19.17B,54.87,1.48%,12.25B
354,LUV,Southwest Airlines Co.,19.13B,32.06,-0.85%,26.09B
355,PPL,PPL Corporation,18.98B,25.76,0.37%,8.57B
356,CLX,The Clorox Company,18.97B,152.93,-0.84%,7.31B
357,LH,Laboratory Corporation of America Holdings,18.92B,222.85,0.02%,13.54B
358,CCL,Carnival Corporation & plc,18.63B,15.08,-3.92%,21.59B
359,COO,"The Cooper Companies, Inc.",18.62B,374.62,0.26%,3.59B
360,TYL,"Tyler Technologies, Inc.",18.58B,440.91,1.32%,1.92B
361,PFG,"Principal Financial Group, Inc.",18.56B,77.87,0.14%,14.10B
362,NTAP,"NetApp, Inc.",18.49B,89.71,0.89%,6.10B
363,BALL,Ball Corporation,18.48B,58.61,-0.90%,14.03B
364,STX,Seagate Technology Holdings plc,18.46B,88.20,0.59%,6.47B
365,EXPD,"Expeditors International of Washington, Inc.",18.42B,126.68,-0.39%,10.46B
366,WDC,Western Digital Corporation,18.38B,56.68,-0.77%,11.26B
367,TSN,"Tyson Foods, Inc.",18.38B,52.63,-2.48%,52.94B
368,CTRA,Coterra Energy Inc.,18.29B,24.30,-0.84%,6.60B
369,K,Kellanova Co,18.25B,53.29,-3.01%,15.87B
370,VTR,"Ventas, Inc.",18.21B,45.25,-0.60%,4.38B
371,J,Jacobs Engineering Group Inc.,18.07B,143.75,0.41%,16.71B
372,FDS,FactSet Research Systems Inc.,18.07B,473.77,0.79%,2.12B
373,EXPE,"Expedia Group, Inc.",17.93B,129.16,-19.01%,12.57B
374,HBAN,Huntington Bancshares Incorporated,17.92B,12.39,0.53%,7.23B
375,AEE,Ameren Corporation,17.85B,67.87,-0.07%,7.93B
376,JBL,Jabil Inc.,17.64B,138.31,1.75%,33.45B
377,MKC,"McCormick & Company, Incorporated",17.45B,65.05,-1.17%,6.66B
378,CNP,"CenterPoint Energy, Inc.",17.32B,27.44,0.04%,9.23B
379,HOLX,"Hologic, Inc.",17.18B,73.18,-0.34%,3.97B
380,TXT,Textron Inc.,17.11B,87.31,-0.32%,13.43B
381,IEX,IDEX Corporation,17.10B,226.08,0.11%,3.27B
382,OMC,Omnicom Group Inc.,17.08B,86.28,-0.40%,14.69B
383,ATO,Atmos Energy Corporation,17.04B,113.00,0.06%,3.95B
384,CINF,Cincinnati Financial Corporation,16.96B,108.08,0.45%,10.01B
385,SWKS,"Skyworks Solutions, Inc.",16.85B,105.18,0.56%,4.64B
386,EPAM,"EPAM Systems, Inc.",16.76B,289.42,0.78%,4.76B
387,ENPH,"Enphase Energy, Inc.",16.73B,122.48,4.79%,2.29B
388,RF,Regions Financial Corporation,16.68B,17.93,0.20%,7.26B
389,AVY,Avery Dennison Corporation,16.38B,203.36,0.19%,8.28B
390,NTRS,Northern Trust Corporation,16.36B,79.03,0.71%,6.73B
391,MAS,Masco Corporation,16.28B,72.53,-1.08%,7.97B
392,CMS,CMS Energy Corporation,16.26B,55.74,-0.04%,7.46B
393,BBY,"Best Buy Co., Inc.",16.22B,75.27,-0.29%,43.54B
394,L,Loews Corporation,16.15B,72.34,0.44%,15.90B
395,CE,Celanese Corporation,16.10B,147.86,-0.70%,10.72B
396,FSLR,"First Solar, Inc.",16.03B,149.99,4.76%,3.16B
397,SYF,Synchrony Financial,16.00B,38.67,-0.54%,7.66B
398,MGM,MGM Resorts International,15.95B,46.69,0.55%,15.38B
399,HRL,Hormel Foods Corporation,15.88B,29.03,-1.49%,12.11B
400,LDOS,"Leidos Holdings, Inc.",15.59B,113.37,0.09%,15.16B
401,TER,"Teradyne, Inc.",15.52B,101.49,3.07%,2.74B
402,EG,"Everest Group, Ltd.",15.16B,349.62,-1.39%,14.18B
403,NDSN,Nordson Corporation,14.98B,262.40,0.20%,2.63B
404,POOL,Pool Corporation,14.96B,387.05,-0.08%,5.63B
405,NWS,News Corporation,14.94B,27.11,0.35%,9.97B
406,NWSA,News Corporation,14.93B,25.94,0.39%,9.97B
407,PKG,Packaging Corporation of America,14.93B,166.59,-0.17%,7.84B
408,DPZ,"Domino's Pizza, Inc.",14.90B,427.14,0.13%,4.47B
409,CF,"CF Industries Holdings, Inc.",14.80B,77.42,1.19%,7.67B
410,ESS,"Essex Property Trust, Inc.",14.69B,228.98,-0.16%,1.67B
411,CFG,"Citizens Financial Group, Inc.",14.64B,31.42,0.14%,7.79B
412,MAA,"Mid-America Apartment Communities, Inc.",14.46B,123.87,-0.49%,2.15B
413,LW,"Lamb Weston Holdings, Inc.",14.44B,100.01,-0.87%,6.35B
414,EQT,EQT Corporation,14.20B,34.52,-0.68%,8.35B
415,DGX,Quest Diagnostics Incorporated,14.18B,126.20,-0.27%,9.25B
416,BEN,"Franklin Resources, Inc.",14.06B,26.70,-0.50%,7.87B
417,VTRS,Viatris Inc.,13.89B,11.58,0.13%,15.47B
418,FOXA,Fox Corporation,13.89B,29.73,3.30%,14.56B
419,SNA,Snap-on Incorporated,13.88B,262.64,-1.27%,5.06B
420,FOX,Fox Corporation,13.87B,27.43,3.02%,14.56B
421,UAL,"United Airlines Holdings, Inc.",13.70B,41.75,0.31%,53.72B
422,SWK,"Stanley Black & Decker, Inc.",13.69B,89.28,0.01%,16.03B
423,HST,"Host Hotels & Resorts, Inc.",13.69B,19.41,-0.74%,5.25B
424,SJM,The J. M. Smucker Company,13.66B,128.65,-1.86%,8.19B
425,ALB,Albemarle Corporation,13.48B,114.84,0.45%,9.88B
426,PODD,Insulet Corporation,13.46B,192.91,-1.90%,1.56B
427,GEN,Gen Digital Inc.,13.42B,21.07,0.93%,3.79B
428,KIM,Kimco Realty Corporation,13.40B,19.87,-0.75%,1.77B
429,MRO,Marathon Oil Corporation,13.19B,22.54,-0.73%,6.74B
430,CAG,"Conagra Brands, Inc.",13.11B,27.43,-2.40%,12.17B
431,AMCR,Amcor plc,13.07B,9.05,-1.26%,14.03B
432,TRMB,Trimble Inc.,13.02B,52.33,0.48%,3.72B
433,ZBRA,Zebra Technologies Corporation,12.98B,252.73,2.27%,5.08B
434,KEY,KeyCorp,12.97B,13.86,-0.07%,6.09B
435,TAP,Molson Coors Beverage Company,12.95B,59.99,-0.46%,11.54B
436,INCY,Incyte Corporation,12.93B,57.66,0.52%,3.61B
437,BG,Bunge Limited,12.82B,88.27,2.04%,61.26B
438,LKQ,LKQ Corporation,12.77B,47.74,0.41%,13.37B
439,RVTY,"Revvity, Inc.",12.75B,103.34,0.09%,2.80B
440,JKHY,"Jack Henry & Associates, Inc.",12.71B,174.57,0.30%,2.16B
441,CPB,Campbell Soup Company,12.48B,41.88,-2.84%,9.30B
442,PNR,Pentair plc,12.28B,74.30,-0.19%,4.10B
443,LNT,Alliant Energy Corporation,12.16B,47.61,0.26%,4.12B
444,IP,International Paper Company,12.09B,34.96,0.20%,18.92B
445,IPG,"The Interpublic Group of Companies, Inc.",11.97B,31.26,-1.70%,10.85B
446,AOS,A. O. Smith Corporation,11.94B,80.25,-,3.80B
447,WYNN,"Wynn Resorts, Limited",11.88B,105.19,-0.87%,5.70B
448,JNPR,"Juniper Networks, Inc.",11.84B,36.96,0.01%,5.56B
449,GL,Globe Life Inc.,11.83B,124.81,-0.11%,5.35B
450,NRG,"NRG Energy, Inc.",11.81B,52.27,-0.15%,29.87B
451,TFX,Teleflex Incorporated,11.70B,249.01,-0.92%,2.96B
452,UDR,"UDR, Inc.",11.62B,35.32,-0.48%,1.61B
453,KMX,"CarMax, Inc.",11.62B,73.57,0.37%,26.63B
454,ALLE,Allegion plc,11.56B,131.58,0.81%,3.61B
455,CRL,"Charles River Laboratories International, Inc.",11.34B,221.15,1.09%,4.22B
456,RL,Ralph Lauren Corporation,11.27B,172.71,0.50%,6.60B
457,REG,Regency Centers Corporation,11.23B,60.84,-2.09%,1.28B
458,NI,NiSource Inc.,11.23B,25.09,0.10%,5.79B
459,EVRG,"Evergy, Inc.",11.22B,48.84,0.44%,5.60B
460,PAYC,"Paycom Software, Inc.",11.07B,191.89,-1.97%,1.69B
461,WRK,WestRock Company,10.97B,42.69,-0.32%,20.01B
462,QRVO,"Qorvo, Inc.",10.93B,113.19,0.51%,3.46B
463,FFIV,"F5, Inc.",10.91B,185.51,0.15%,2.81B
464,AES,The AES Corporation,10.88B,16.25,0.31%,12.76B
465,DAY,Dayforce Inc,10.82B,69.42,-0.80%,1.45B
466,HII,"Huntington Ingalls Industries, Inc.",10.74B,271.30,-0.31%,11.45B
467,TECH,Bio-Techne Corporation,10.58B,66.93,-1.43%,1.14B
468,CTLT,"Catalent, Inc.",10.24B,56.56,0.02%,4.22B
469,BXP,"Boston Properties, Inc.",10.08B,64.26,-1.24%,3.23B
470,DVA,DaVita Inc.,10.06B,110.21,-0.55%,11.91B
471,UHS,"Universal Health Services, Inc.",10.06B,161.88,-0.05%,14.03B
472,BBWI,"Bath & Body Works, Inc.",10.03B,44.41,0.08%,7.41B
473,CPT,Camden Property Trust,9.99B,93.57,-0.40%,1.93B
474,MOS,The Mosaic Company,9.81B,30.01,-0.27%,15.03B
475,EMN,Eastman Chemical Company,9.75B,82.22,-0.93%,9.38B
476,MTCH,"Match Group, Inc.",9.65B,35.50,1.34%,3.28B
477,AAL,American Airlines Group Inc.,9.65B,14.77,-1.20%,52.91B
478,CZR,"Caesars Entertainment, Inc.",9.62B,44.62,0.84%,11.52B
479,HSIC,"Henry Schein, Inc.",9.62B,74.05,-1.13%,12.69B
480,TPR,"Tapestry, Inc.",9.55B,41.63,-3.18%,6.73B
481,PEAK,"Healthpeak Properties, Inc.",9.52B,17.38,-3.42%,2.15B
482,BIO,"Bio-Rad Laboratories, Inc.",9.43B,323.98,-0.65%,2.72B
483,ETSY,"Etsy, Inc.",9.28B,77.48,4.01%,2.71B
484,APA,APA Corporation,9.16B,30.23,-0.80%,8.68B
485,AIZ,"Assurant, Inc.",9.16B,174.04,-0.30%,10.80B
486,PARA,Paramount Global,8.79B,13.03,0.12%,30.15B
487,CHRW,"C.H. Robinson Worldwide, Inc.",8.65B,74.13,-0.71%,18.44B
488,RHI,Robert Half International Inc.,8.59B,81.08,0.66%,6.39B
489,MKTX,MarketAxess Holdings Inc.,8.41B,223.31,-0.39%,752.55M
490,FRT,Federal Realty Investment Trust,8.22B,100.78,-1.25%,1.12B
491,GNRC,Generac Holdings Inc.,7.83B,127.47,0.26%,4.01B
492,PNW,Pinnacle West Capital Corporation,7.56B,66.67,0.42%,4.71B
493,BWA,BorgWarner Inc.,7.41B,31.53,0.14%,14.20B
494,IVZ,Invesco Ltd.,7.09B,15.78,-0.82%,5.75B
495,NCLH,Norwegian Cruise Line Holdings Ltd.,7.07B,16.60,-5.14%,8.08B
496,HAS,"Hasbro, Inc.",7.06B,50.88,0.39%,5.39B
497,XRAY,DENTSPLY SIRONA Inc.,6.99B,32.99,-0.53%,3.94B
498,MHK,"Mohawk Industries, Inc.",6.93B,109.00,-0.56%,11.17B
499,CMA,Comerica Incorporated,6.75B,51.16,0.18%,3.72B
500,FMC,FMC Corporation,6.40B,51.28,-1.47%,4.49B
501,WHR,Whirlpool Corporation,5.98B,108.94,-1.13%,19.46B
502,ZION,"Zions Bancorporation,NA",5.92B,39.99,0.25%,3.08B
503,VFC,V.F. Corporation,5.91B,15.19,-1.07%,10.82B
